Valuation date,Cumulative Return
2023-01-30,
2023-01-31,-0.00792725367211744
2023-02-01,-0.008991287721206942
2023-02-02,0.00035201126436046337
2023-02-03,-0.0010020320650259151
2023-02-04,-0.0009580306569809682
2023-02-05,-0.0009140292489357993
2023-02-06,-0.009458302665685148
2023-02-07,-0.012571402284872968
2023-02-08,-0.014082450638420285
2023-02-09,-0.011184357899452713
2023-02-10,-0.01612651604851345
2023-02-11,-0.016078514512464448
2023-02-12,-0.016033513072418182
2023-02-13,-0.016047513520432544
2023-02-14,-0.017751568050177524
2023-02-15,-0.018735599539185244
2023-02-16,-0.021544689430061714
2023-02-17,-0.026567850171205443
2023-02-18,-0.026534849115171566
2023-02-19,-0.026489847675125522
2023-02-20,-0.027038865243687593
2023-02-21,-0.03328906525008779
2023-02-22,-0.03540413293225364
2023-02-23,-0.03251804057729846
2023-02-24,-0.03324806393804591
2023-02-25,-0.03319906236999559
2023-02-26,-0.03315406092994955
2023-02-27,-0.033490071682293565
2023-02-28,-0.033742079746551745
2023-03-01,-0.0343530992991774
2023-03-02,-0.03604115331690605
2023-03-03,-0.034567106147396554
2023-03-04,-0.03451910461134744
2023-03-05,-0.034474103171301285
2023-03-06,-0.03224403180901769
2023-03-07,-0.025059801913661084
2023-03-08,-0.024936797977534897
2023-03-09,-0.02459778712918781
2023-03-10,-0.02317374155972951
2023-03-11,-0.023166741335722274
2023-03-12,-0.023122739927677105
2023-03-13,-0.020365651700853915
2023-03-14,-0.02258272264712413
2023-03-15,-0.022659725111202955
2023-03-16,-0.02346275080802529
2023-03-17,-0.022578722519120076
2023-03-18,-0.022399716790936774
2023-03-19,-0.02235471535089073
2023-03-20,-0.0229737351595245
2023-03-21,-0.02203370507856195
2023-03-22,-0.021135676341642262
2023-03-23,-0.01708054657748992
2023-03-24,-0.01637952414477184
2023-03-25,-0.016336522768727768
2023-03-26,-0.01629252136068282
2023-03-27,-0.015565498095938324
2023-03-28,-0.015738503632115375
2023-03-29,-0.016207518640595775
2023-03-30,-0.016268520592658153
2023-03-31,-0.015767504560145085
2023-04-01,-0.015703502512079526
2023-04-02,-0.01565950110403458
2023-04-03,-0.014833474671188673
2023-04-04,-0.013671437485998528
2023-04-05,-0.012313394028607871
2023-04-06,-0.011587370795864582
2023-04-07,-0.011543369387819524
2023-04-08,-0.011519368619795078
2023-04-09,-0.01147536721175002
2023-04-10,-0.011431365803704852
2023-04-11,-0.012819410221126204
2023-04-12,-0.012571402284872302
2023-04-13,-0.012130388172420625
2023-04-14,-0.01344243015776414
2023-04-15,-0.013398428749719082
2023-04-16,-0.013354427341673913
2023-04-17,-0.014258456270599629
2023-04-18,-0.013852443278184023
2023-04-19,-0.014087450798424661
2023-04-20,-0.014193454190533195
2023-04-21,-0.014759472303112808
2023-04-22,-0.01471547089506775
2023-04-23,-0.014670469455021817
2023-04-24,-0.014587466798936854
2023-04-25,-0.012831410605138593
2023-04-26,-0.012713406829017782
2023-04-27,-0.013569434221894383
