Valuation date,Cumulative Return
2022-03-31,
2022-04-01,-9.300000000000974e-05
2022-04-02,-0.0001860000000001305
2022-04-03,-0.00027900000000014025
2022-04-04,-0.00037100000000012123
2022-04-05,-0.000464000000000242
2022-04-06,0.0032129999999996883
2022-04-07,0.003293999999999908
2022-04-08,0.004780999999999702
2022-04-09,0.006804999999999728
2022-04-10,0.006725999999999788
2022-04-11,-0.0009450000000001957
2022-04-12,-0.004157000000000299
2022-04-13,0.00409299999999968
2022-04-14,0.007121999999999629
2022-04-15,0.004576999999999609
2022-04-16,0.0062629999999996855
2022-04-17,0.006168999999999647
2022-04-18,0.00454999999999961
2022-04-19,0.013947999999999627
2022-04-20,0.014419999999999655
2022-04-21,0.007829999999999782
2022-04-22,-0.014521000000000228
2022-04-23,-0.014612000000000291
2022-04-24,-0.014704000000000272
2022-04-25,-0.01053700000000024
2022-04-26,-0.03682200000000013
2022-04-27,-0.018980000000000108
2022-04-28,0.0004899999999998794
2022-04-29,-0.008789000000000158
2022-04-30,-0.011559000000000208
2022-05-01,-0.011651000000000078
2022-05-02,-0.013358000000000203
2022-05-03,-0.014553000000000038
2022-05-04,0.005017999999999967
2022-05-05,-0.018652000000000002
2022-05-06,-0.028636999999999913
2022-05-07,-0.029278999999999944
2022-05-08,-0.02936899999999998
2022-05-09,-0.05266100000000007
2022-05-10,-0.04923400000000011
2022-05-11,-0.055832000000000104
2022-05-12,-0.05682000000000009
2022-05-13,-0.023740000000000094
2022-05-14,-0.022542000000000173
2022-05-15,-0.022633000000000236
2022-05-16,-0.03208800000000023
2022-05-17,-0.0232680000000004
2022-05-18,-0.0559040000000004
2022-05-19,-0.06388900000000042
2022-05-20,-0.058722000000000385
2022-05-21,-0.0610780000000003
2022-05-22,-0.06116500000000036
2022-05-23,-0.05126500000000023
2022-05-24,-0.05989300000000031
2022-05-25,-0.05662400000000034
2022-05-26,-0.04078500000000029
2022-05-27,-0.027922000000000224
2022-05-28,-0.028832000000000302
2022-05-29,-0.028922000000000336
2022-05-30,-0.02640100000000034
2022-05-31,-0.03176200000000018
2022-06-01,-0.03492900000000032
2022-06-02,-0.023146000000000222
2022-06-03,-0.028920000000000168
2022-06-04,-0.030826000000000242
2022-06-05,-0.030916000000000166
2022-06-06,-0.02817700000000023
2022-06-07,-0.025133000000000183
2022-06-08,-0.03001900000000024
2022-06-09,-0.050126000000000226
2022-06-10,-0.06871700000000025
2022-06-11,-0.06880300000000028
2022-06-12,-0.06889000000000023
2022-06-13,-0.09117300000000028
2022-06-14,-0.08047300000000024
2022-06-15,-0.068021
2022-06-16,-0.09225700000000003
2022-06-17,-0.08607299999999996
2022-06-18,-0.09089800000000003
2022-06-19,-0.09098300000000004
2022-06-20,-0.0901510000000002
2022-06-21,-0.07721700000000009
2022-06-22,-0.08221100000000015
2022-06-23,-0.07765600000000017
2022-06-24,-0.050427
2022-06-25,-0.05183400000000016
2022-06-26,-0.05192300000000005
2022-06-27,-0.05292399999999997
2022-06-28,-0.07286399999999993
2022-06-29,-0.07383399999999984
2022-06-30,-0.0784919999999999
2022-07-01,-0.06687899999999991
2022-07-02,-0.06982699999999986
2022-07-03,-0.06991399999999992
2022-07-04,-0.06961499999999998
2022-07-05,-0.07862199999999997
2022-07-06,-0.06361499999999998
2022-07-07,-0.03968499999999997
2022-07-08,-0.038089999999999735
2022-07-09,-0.03731099999999976
2022-07-10,-0.037400999999999796
2022-07-11,-0.04877699999999985
2022-07-12,-0.04552299999999976
2022-07-13,-0.04957199999999973
2022-07-14,-0.05785799999999974
2022-07-15,-0.03598899999999983
2022-07-16,-0.039654999999999885
2022-07-17,-0.03974399999999989
2022-07-18,-0.04467399999999977
2022-07-19,-0.024595999999999618
2022-07-20,-0.03204099999999965
2022-07-21,-0.024364999999999526
2022-07-22,-0.031401999999999486
2022-07-23,-0.029914999999999692
2022-07-24,-0.030004999999999615
2022-07-25,-0.02565399999999962
2022-07-26,-0.03849899999999973
2022-07-27,-0.020787999999999585
2022-07-28,-0.011934999999999585
2022-07-29,-0.0015199999999996328
2022-07-30,-0.006137999999999644
2022-07-31,-0.0062309999999995425
2022-08-01,-0.004453999999999625
2022-08-02,-0.01250199999999968
2022-08-03,-0.0011599999999996058
2022-08-04,0.0014260000000003714
2022-08-05,-0.0005709999999996551
2022-08-06,-0.003805999999999643
2022-08-07,-0.003897999999999513
2022-08-08,-0.0015999999999994907
2022-08-09,-0.00835399999999964
2022-08-10,0.0019240000000004809
2022-08-11,-0.0027999999999995806
2022-08-12,0.0028690000000004545
2022-08-13,0.006002000000000285
2022-08-14,0.005909000000000386
2022-08-15,0.011032000000000375
2022-08-16,0.020600000000000396
2022-08-17,0.015238000000000307
2022-08-18,0.01359900000000036
2022-08-19,0.0036810000000004894
2022-08-20,0.011174000000000461
2022-08-21,0.011080000000000423
2022-08-22,-0.003801999999999639
2022-08-23,-0.003565999999999514
2022-08-24,0.0008430000000003712
2022-08-25,0.011301000000000228
2022-08-26,-0.01197199999999965
2022-08-27,-0.01432399999999967
2022-08-28,-0.014414999999999734
2022-08-29,-0.017118999999999773
2022-08-30,-0.021253999999999773
2022-08-31,-0.03198299999999976
2022-09-01,-0.0323359999999997
2022-09-02,-0.03272499999999967
2022-09-03,-0.0324629999999998
2022-09-04,-0.03255299999999983
2022-09-05,-0.03788699999999989
2022-09-06,-0.03239399999999981
2022-09-07,-0.02034699999999967
2022-09-08,-0.0018839999999995527
2022-09-09,0.014590000000000547
2022-09-10,0.004079000000000388
2022-09-11,0.003986000000000489
