Valuation date,Cumulative Return
2022-03-31,
2022-04-01,-9.300000000000974e-05
2022-04-02,-0.0001860000000001305
2022-04-03,-0.00027900000000014025
2022-04-04,-0.00037100000000012123
2022-04-05,-0.000464000000000242
2022-04-06,-0.007273000000000196
2022-04-07,-0.011582000000000092
2022-04-08,-0.025706000000000118
2022-04-09,-0.02282200000000023
2022-04-10,-0.022898000000000196
2022-04-11,-0.04892500000000011
2022-04-12,-0.06238200000000016
2022-04-13,-0.03687900000000022
2022-04-14,-0.06122000000000016
2022-04-15,-0.06512200000000024
2022-04-16,-0.06096300000000021
2022-04-17,-0.06105000000000027
2022-04-18,-0.05577100000000024
2022-04-19,-0.0383340000000002
2022-04-20,-0.04981000000000013
2022-04-21,-0.07703000000000015
2022-04-22,-0.10219800000000012
2022-04-23,-0.10228099999999996
2022-04-24,-0.10236500000000004
2022-04-25,-0.0929509999999999
2022-04-26,-0.12599399999999994
2022-04-27,-0.11794699999999991
2022-04-28,-0.06890399999999985
2022-04-29,-0.09814899999999982
2022-04-30,-0.10238999999999998
2022-05-01,-0.10247299999999993
2022-05-02,-0.08411199999999985
2022-05-03,-0.08067099999999994
2022-05-04,-0.05303000000000002
2022-05-05,-0.10075199999999995
2022-05-06,-0.11370599999999997
2022-05-07,-0.11359200000000003
2022-05-09,-0.15421600000000002
2022-05-10,-0.14016099999999998
2022-05-11,-0.10247300000000004
2022-05-12,-0.1690410000000001
2022-05-13,-0.11789000000000016
2022-05-14,-0.1161810000000002
2022-05-15,-0.11626300000000023
2022-05-16,-0.1352880000000003
2022-05-17,-0.11433500000000019
2022-05-18,-0.15705900000000017
2022-05-19,-0.15876800000000013
2022-05-20,-0.16530200000000006
2022-05-21,-0.168273
2022-05-22,-0.16835
2022-05-23,-0.15547200000000005
2022-05-24,-0.18239099999999997
2022-05-25,-0.1728170000000001
2022-05-26,-0.15268800000000005
2022-05-27,-0.1286329999999999
2022-05-28,-0.13014499999999984
2022-05-29,-0.1302249999999998
2022-05-30,-0.12935299999999994
2022-05-31,-0.13160099999999997
2022-06-01,-0.13117699999999988
2022-06-02,-0.10752099999999987
2022-06-03,-0.12832299999999985
2022-06-04,-0.13052799999999987
2022-06-05,-0.13060899999999986
2022-06-06,-0.12768699999999977
2022-06-07,-0.12165799999999993
2022-06-08,-0.12268699999999988
2022-06-09,-0.14459100000000003
2022-06-10,-0.16996099999999992
2022-06-11,-0.1700379999999999
2022-06-12,-0.1701149999999999
2022-06-13,-0.20297199999999993
2022-06-14,-0.18548399999999987
2022-06-15,-0.16504099999999988
2022-06-16,-0.20164499999999996
2022-06-17,-0.1896129999999998
2022-06-18,-0.1948979999999999
2022-06-19,-0.19497299999999984
2022-06-20,-0.1941639999999999
2022-06-21,-0.17859399999999992
2022-06-22,-0.182821
2022-06-23,-0.17066900000000018
2022-06-24,-0.13809700000000025
2022-06-25,-0.14019100000000007
2022-06-26,-0.14027000000000012
2022-06-27,-0.14639400000000002
2022-06-28,-0.17465700000000006
2022-06-29,-0.18180000000000018
2022-06-30,-0.1948620000000001
2022-07-01,-0.19069400000000014
2022-07-02,-0.19290600000000002
2022-07-03,-0.19298100000000007
2022-07-04,-0.19334800000000008
2022-07-05,-0.1789940000000001
2022-07-06,-0.16888800000000004
2022-07-07,-0.136988
2022-07-08,-0.1379269999999999
2022-07-09,-0.13700899999999994
2022-07-10,-0.1370889999999999
2022-07-11,-0.16125499999999993
2022-07-12,-0.16231499999999988
2022-07-13,-0.15871599999999986
2022-07-14,-0.16186599999999984
2022-07-15,-0.14184499999999978
2022-07-16,-0.14544899999999972
2022-07-17,-0.14552799999999977
2022-07-18,-0.1480659999999997
2022-07-19,-0.12875199999999987
2022-07-20,-0.11454999999999982
2022-07-21,-0.0926459999999999
2022-07-22,-0.11396699999999982
2022-07-23,-0.11345499999999997
2022-07-24,-0.11353800000000003
2022-07-25,-0.11809799999999981
2022-07-26,-0.1416829999999999
2022-07-27,-0.10195799999999988
2022-07-28,-0.09797799999999979
2022-07-29,-0.08793599999999979
2022-07-30,-0.09291199999999988
2022-07-31,-0.09299599999999975
2022-08-01,-0.0865969999999997
2022-08-02,-0.08060999999999974
2022-08-03,-0.05985499999999966
2022-08-04,-0.04819799999999963
2022-08-05,-0.05513999999999952
2022-08-06,-0.05868499999999954
2022-08-07,-0.05877299999999963
2022-08-08,-0.06590599999999958
2022-08-09,-0.08119499999999968
2022-08-10,-0.05618199999999973
2022-08-11,-0.06068799999999974
2022-08-12,-0.05233599999999983
2022-08-13,-0.048978999999999884
2022-08-14,-0.04906699999999986
2022-08-15,-0.04711299999999985
2022-08-16,-0.044989999999999974
2022-08-17,-0.05403000000000002
2022-08-18,-0.051959999999999895
2022-08-19,-0.07230000000000003
2022-08-20,-0.06464000000000003
2022-08-21,-0.06472699999999998
2022-08-22,-0.08540099999999984
2022-08-23,-0.08428599999999986
2022-08-24,-0.07497399999999987
2022-08-25,-0.058915999999999746
2022-08-26,-0.09420599999999979
2022-08-27,-0.09650599999999987
2022-08-28,-0.09658999999999995
2022-08-29,-0.10590499999999992
2022-08-30,-0.1136419999999998
2022-08-31,-0.12157799999999985
2022-09-01,-0.12419099999999983
2022-09-02,-0.13122499999999981
2022-09-03,-0.13065799999999972
2022-09-04,-0.13073899999999972
2022-09-05,-0.13143899999999986
2022-09-06,-0.1341939999999998
2022-09-07,-0.12319599999999986
2022-09-08,-0.11464599999999991
2022-09-09,-0.09425799999999973
2022-09-10,-0.10482799999999981
2022-09-11,-0.1049119999999999
2022-09-12,-0.09642899999999988
